카테고리목록,언급횟수
구두/여성화/남성화>기능화,63
헤어케어>헤어스타일링,63
블랙박스/내비/자동차용품>튜닝용품,63
수입명품>명품 슈즈,63
구기/라켓>야구용품,63
신발>기능화,63
욕실용품>샤워기/수전,63
주방/생활/이미용가전>헤어롤/헤어브러쉬,63
반려동물용품>고양이 사료,63
홈패브릭/수예>공예용품,63
남성신발>기능화,63
반려동물용품>강아지사료,62
여성가방>백팩,62
바디/헤어>헤어케어,62
반려동물용품>관상어용품,62
주방용품>주방수납,62
쌀/과일/농수축산물>가공육류,62
완구/취미>블록놀이,62
향수/바디/헤어/미용>네일아트,61
국내/해외화장품>네일아트/페디큐어,61
디자인/문구/사무용품>화일/바인더,61
화장품/미용>네일케어,61
침구/커튼/카페트>카페트/러그/매트,61
뷰티>네일케어,61
자동차용품>매트/시트/쿠션,60
블랙박스/내비/자동차용품>시트커버/바닥매트,60
조명/인테리어>소품보관,60
브랜드 잡화>지갑/벨트,60
꽃/원예>꽃/식물,60
뷰티>네일,60
자전거/헬스/스포츠>스포츠액세서리,60
문방구/사무/종이>사무용품,59
주방/수입주방>주방수납보관,59
주방용품>와인/주류용품,59
자동차용품/스쿠터>시트/커버,59
자동차용품>시트/쿠션,59
인테리어소품>캔들,59
주방용품>칼/도마,59
반려동물/애완용품>애완 쿠션/하우스,58
스포츠의류/운동화>보호대/테이핑,58
강아지용품>미용용품,58
바디/헤어>구강케어,58
홈/언더웨어>잠옷/홈웨어/슬립,58
반려동물용품>강아지 미용/목욕,58
반려동물/애완용품>강아지 미용/목욕,58
가방/잡화>남성/서류가방,57
여성의류>티셔츠,57
등산/캠핑/낚시/여행>등산모자/장갑/양말,57
여성의류>티셔츠/맨투맨/후드,57
골프>골프필드용품,57
